t_ms,side,layer,event,rtt_ms_est,latency_ms,jitter_ms,loss_rate,reorder_rate,goodput_bps,snr_db_est,ber,per,cfo_hz_est,lock_ratio,hs_time_ms,rekey_ms,aead_fail_cnt
0,R,audioblock,rx,,,,,,,inf,,,,,,,
0,L,audioblock,tx,120.000000,,,,,,,,,,,,,
0,R,audioblock,rx,,0.000000,,,,,,,,,,,,
0,L,audioblock,rx,,,,,,,inf,,,,,,,
0,R,audioblock,tx,120.000000,,,,,,,,,,,,,
0,L,audioblock,rx,,0.000000,,,,,,,,,,,,
10,R,audioblock,rx,,,,,,,inf,,,,,,,
10,L,audioblock,tx,120.000000,,,,,,,,,,,,,
10,R,audioblock,rx,,0.000000,,,,,,,,,,,,
10,L,audioblock,rx,,,,,,,inf,,,,,,,
10,R,audioblock,tx,120.000000,,,,,,,,,,,,,
10,L,audioblock,rx,,0.000000,,,,,,,,,,,,
20,R,audioblock,rx,,,,,,,inf,,,,,,,
20,L,audioblock,tx,120.000000,,,,,,,,,,,,,
20,R,audioblock,rx,,0.000000,,,,,,,,,,,,
20,L,audioblock,rx,,,,,,,inf,,,,,,,
20,R,audioblock,tx,120.000000,,,,,,,,,,,,,
20,L,audioblock,rx,,0.000000,,,,,,,,,,,,
30,R,audioblock,rx,,,,,,,inf,,,,,,,
30,L,audioblock,tx,120.000000,,,,,,,,,,,,,
30,R,audioblock,rx,,0.000000,,,,,,,,,,,,
30,L,audioblock,rx,,,,,,,inf,,,,,,,
30,R,audioblock,tx,120.000000,,,,,,,,,,,,,
30,L,audioblock,rx,,0.000000,,,,,,,,,,,,
40,R,audioblock,rx,,,,,,,inf,,,,,,,
40,L,audioblock,tx,120.000000,,,,,,,,,,,,,
40,R,audioblock,rx,,0.000000,,,,,,,,,,,,
40,L,audioblock,rx,,,,,,,inf,,,,,,,
40,R,audioblock,tx,120.000000,,,,,,,,,,,,,
40,L,audioblock,rx,,0.000000,,,,,,,,,,,,
50,R,audioblock,rx,,,,,,,inf,,,,,,,
50,L,audioblock,tx,120.000000,,,,,,,,,,,,,
50,R,audioblock,rx,,0.000000,,,,,,,,,,,,
50,L,audioblock,rx,,,,,,,inf,,,,,,,
50,R,audioblock,tx,120.000000,,,,,,,,,,,,,
50,L,audioblock,rx,,0.000000,,,,,,,,,,,,
60,R,audioblock,rx,,,,,,,inf,,,,,,,
60,L,audioblock,tx,120.000000,,,,,,,,,,,,,
60,R,audioblock,rx,,0.000000,,,,,,,,,,,,
60,L,audioblock,rx,,,,,,,inf,,,,,,,
60,R,audioblock,tx,120.000000,,,,,,,,,,,,,
60,L,audioblock,rx,,0.000000,,,,,,,,,,,,
70,R,audioblock,rx,,,,,,,inf,,,,,,,
70,L,audioblock,tx,120.000000,,,,,,,,,,,,,
70,R,audioblock,rx,,0.000000,,,,,,,,,,,,
70,L,audioblock,rx,,,,,,,inf,,,,,,,
70,R,audioblock,tx,120.000000,,,,,,,,,,,,,
70,L,audioblock,rx,,0.000000,,,,,,,,,,,,
80,R,audioblock,rx,,,,,,,inf,,,,,,,
80,L,audioblock,tx,120.000000,,,,,,,,,,,,,
80,R,audioblock,rx,,0.000000,,,,,,,,,,,,
80,L,audioblock,rx,,,,,,,inf,,,,,,,
80,R,audioblock,tx,120.000000,,,,,,,,,,,,,
80,L,audioblock,rx,,0.000000,,,,,,,,,,,,
90,R,audioblock,rx,,,,,,,inf,,,,,,,
90,L,audioblock,tx,120.000000,,,,,,,,,,,,,
90,R,audioblock,rx,,0.000000,,,,,,,,,,,,
90,L,audioblock,rx,,,,,,,inf,,,,,,,
90,R,audioblock,tx,120.000000,,,,,,,,,,,,,
90,L,audioblock,rx,,0.000000,,,,,,,,,,,,
100,R,audioblock,rx,,,,,,,inf,,,,,,,
100,L,audioblock,tx,120.000000,,,,,,,,,,,,,
100,R,audioblock,rx,,0.000000,,,,,,,,,,,,
100,L,audioblock,rx,,,,,,,inf,,,,,,,
100,R,audioblock,tx,120.000000,,,,,,,,,,,,,
100,L,audioblock,rx,,0.000000,,,,,,,,,,,,
110,R,audioblock,rx,,,,,,,inf,,,,,,,
110,L,audioblock,tx,120.000000,,,,,,,,,,,,,
110,R,audioblock,rx,,0.000000,,,,,,,,,,,,
110,L,audioblock,rx,,,,,,,inf,,,,,,,
110,R,audioblock,tx,120.000000,,,,,,,,,,,,,
110,L,audioblock,rx,,0.000000,,,,,,,,,,,,
120,R,audioblock,rx,,,,,,,inf,,,,,,,
120,L,audioblock,tx,120.000000,,,,,,,,,,,,,
120,R,audioblock,rx,,0.000000,,,,,,,,,,,,
120,L,audioblock,rx,,,,,,,inf,,,,,,,
120,R,audioblock,tx,120.000000,,,,,,,,,,,,,
120,L,audioblock,rx,,0.000000,,,,,,,,,,,,
130,R,audioblock,rx,,,,,,,inf,,,,,,,
130,L,audioblock,tx,120.000000,,,,,,,,,,,,,
130,R,audioblock,rx,,0.000000,,,,,,,,,,,,
130,L,audioblock,rx,,,,,,,inf,,,,,,,
130,R,audioblock,tx,120.000000,,,,,,,,,,,,,
130,L,audioblock,rx,,0.000000,,,,,,,,,,,,
140,R,audioblock,rx,,,,,,,inf,,,,,,,
140,L,audioblock,tx,120.000000,,,,,,,,,,,,,
140,R,audioblock,rx,,0.000000,,,,,,,,,,,,
140,L,audioblock,rx,,,,,,,inf,,,,,,,
140,R,audioblock,tx,120.000000,,,,,,,,,,,,,
140,L,audioblock,rx,,0.000000,,,,,,,,,,,,
150,R,audioblock,rx,,,,,,,inf,,,,,,,
150,L,audioblock,tx,120.000000,,,,,,,,,,,,,
150,R,audioblock,rx,,0.000000,,,,,,,,,,,,
150,L,audioblock,rx,,,,,,,inf,,,,,,,
150,R,audioblock,tx,120.000000,,,,,,,,,,,,,
150,L,audioblock,rx,,0.000000,,,,,,,,,,,,
160,R,audioblock,rx,,,,,,,inf,,,,,,,
160,L,audioblock,tx,120.000000,,,,,,,,,,,,,
160,R,audioblock,rx,,0.000000,,,,,,,,,,,,
160,L,audioblock,rx,,,,,,,inf,,,,,,,
160,R,audioblock,tx,120.000000,,,,,,,,,,,,,
160,L,audioblock,rx,,0.000000,,,,,,,,,,,,
170,R,audioblock,rx,,,,,,,inf,,,,,,,
170,L,audioblock,tx,120.000000,,,,,,,,,,,,,
170,R,audioblock,rx,,0.000000,,,,,,,,,,,,
170,L,audioblock,rx,,,,,,,inf,,,,,,,
170,R,audioblock,tx,120.000000,,,,,,,,,,,,,
170,L,audioblock,rx,,0.000000,,,,,,,,,,,,
180,R,audioblock,rx,,,,,,,inf,,,,,,,
180,L,audioblock,tx,120.000000,,,,,,,,,,,,,
180,R,audioblock,rx,,0.000000,,,,,,,,,,,,
180,L,audioblock,rx,,,,,,,inf,,,,,,,
180,R,audioblock,tx,120.000000,,,,,,,,,,,,,
180,L,audioblock,rx,,0.000000,,,,,,,,,,,,
190,R,audioblock,rx,,,,,,,inf,,,,,,,
190,L,audioblock,tx,120.000000,,,,,,,,,,,,,
190,R,audioblock,rx,,0.000000,,,,,,,,,,,,
190,L,audioblock,rx,,,,,,,inf,,,,,,,
190,R,audioblock,tx,120.000000,,,,,,,,,,,,,
190,L,audioblock,rx,,0.000000,,,,,,,,,,,,
200,R,audioblock,rx,,,,,,,inf,,,,,,,
200,L,audioblock,tx,120.000000,,,,,,,,,,,,,
200,R,audioblock,rx,,0.000000,,,,,,,,,,,,
200,L,audioblock,rx,,,,,,,inf,,,,,,,
200,R,audioblock,tx,120.000000,,,,,,,,,,,,,
200,L,audioblock,rx,,0.000000,,,,,,,,,,,,
210,R,audioblock,rx,,,,,,,inf,,,,,,,
210,L,audioblock,tx,120.000000,,,,,,,,,,,,,
210,R,audioblock,rx,,0.000000,,,,,,,,,,,,
210,L,audioblock,rx,,,,,,,inf,,,,,,,
210,R,audioblock,tx,120.000000,,,,,,,,,,,,,
210,L,audioblock,rx,,0.000000,,,,,,,,,,,,
220,R,audioblock,rx,,,,,,,inf,,,,,,,
220,L,audioblock,tx,120.000000,,,,,,,,,,,,,
220,R,audioblock,rx,,0.000000,,,,,,,,,,,,
220,L,audioblock,rx,,,,,,,inf,,,,,,,
220,R,audioblock,tx,120.000000,,,,,,,,,,,,,
220,L,audioblock,rx,,0.000000,,,,,,,,,,,,
230,R,audioblock,rx,,,,,,,inf,,,,,,,
230,L,audioblock,tx,120.000000,,,,,,,,,,,,,
230,R,audioblock,rx,,0.000000,,,,,,,,,,,,
230,L,audioblock,rx,,,,,,,inf,,,,,,,
230,R,audioblock,tx,120.000000,,,,,,,,,,,,,
230,L,audioblock,rx,,0.000000,,,,,,,,,,,,
240,R,audioblock,rx,,,,,,,inf,,,,,,,
240,L,audioblock,tx,120.000000,,,,,,,,,,,,,
240,R,audioblock,rx,,0.000000,,,,,,,,,,,,
240,L,audioblock,rx,,,,,,,inf,,,,,,,
240,R,audioblock,tx,120.000000,,,,,,,,,,,,,
240,L,audioblock,rx,,0.000000,,,,,,,,,,,,
250,R,audioblock,rx,,,,,,,inf,,,,,,,
250,L,audioblock,tx,120.000000,,,,,,,,,,,,,
250,R,audioblock,rx,,0.000000,,,,,,,,,,,,
250,L,audioblock,rx,,,,,,,inf,,,,,,,
250,R,audioblock,tx,120.000000,,,,,,,,,,,,,
250,L,audioblock,rx,,0.000000,,,,,,,,,,,,
260,R,audioblock,rx,,,,,,,inf,,,,,,,
260,L,audioblock,tx,120.000000,,,,,,,,,,,,,
260,R,audioblock,rx,,0.000000,,,,,,,,,,,,
260,L,audioblock,rx,,,,,,,inf,,,,,,,
260,R,audioblock,tx,120.000000,,,,,,,,,,,,,
260,L,audioblock,rx,,0.000000,,,,,,,,,,,,
270,R,audioblock,rx,,,,,,,inf,,,,,,,
270,L,audioblock,tx,120.000000,,,,,,,,,,,,,
270,R,audioblock,rx,,0.000000,,,,,,,,,,,,
270,L,audioblock,rx,,,,,,,inf,,,,,,,
270,R,audioblock,tx,120.000000,,,,,,,,,,,,,
270,L,audioblock,rx,,0.000000,,,,,,,,,,,,
280,R,audioblock,rx,,,,,,,inf,,,,,,,
280,L,audioblock,tx,120.000000,,,,,,,,,,,,,
280,R,audioblock,rx,,0.000000,,,,,,,,,,,,
280,L,audioblock,rx,,,,,,,inf,,,,,,,
280,R,audioblock,tx,120.000000,,,,,,,,,,,,,
280,L,audioblock,rx,,0.000000,,,,,,,,,,,,
290,R,audioblock,rx,,,,,,,inf,,,,,,,
